Item,SKU,UPC,Unit Cost,Case Size
Farberware pro 23pc prep baking set - red ni,HSWE041350,024131498499,9.25,2
Purex liquid laundry detergent 50oz- line...,CLEA041392,024200060572,4.25,6
"Disney lilo & stitch 8"" plush elvis stitc...",TOYS041352,883975188412,3.00,30
"Disney lilo & stitch 8"" plush elvis stitc...",TOYS041351,883975188399,3.00,30
Rite aid premium infant formula milk powd...,HEAL040731,011822015264,2.50,4
Sp ziploc endurables small pouch 1ct 8 oz,HSWE041424,025700009207,2.25,8
5ct total home 24oz soup & salad storage ...,HSWE040830,050428295847,1.80,6
Freshly parsley flakes .25 oz 12/5/27,FOOD040069,6281063884040,0.25,12
"Multipet wrinkleez  bunny dog toy 9""",PETS041257,784369430172,2.50,24
Multipet wild woodies large dog toy (bear...,PETS041251,784369806649,2.50,12
Can opener in cdu,HSWE041344,076753118330,2.50,16
9in ns round cake pan,BAKE041341,076753534802,2.00,18
Multipet holiday dog toy,PETS041258,784369538588,3.00,24
Multipet tuff emuff braided dog throw toy...,PETS041253,784369291360,2.25,48
Multipet pet envy reindeer dog toy,PETS041259,784369573602,2.50,48
"Multipet aviators latex dog toy  6.5""",PETS041247,784369613919,0.65,24
Multipet aromadog fleece lavender dog toy,PETS041252,784369713954,2.00,24
"Multipet birthday present dog toy 5.5"" pink",PETS041244,784369487404,1.80,24
"Multipet yeti w/santa hat dog toy  6""",PETS041243,784369535631,1.00,72
Firefly toothbrush 2ct - paw patrol -- so...,BEAU041262,840204485568,0.60,24
Glade automatic spray refill embers & san...,CLEA040458,197981001109,2.25,4
Rite aid pain relief acetaminophen extra ...,HEAL039613,011822041256,1.00,36
Copco eco travel coffee mug -- brown ni,HSWE041390,043909099614,2.40,32
Wine bottle stopper - mini wine bucket,HSWE039808,022494187746,1.15,96
Farberware pro 6pc tool crock set - grey,HSWE041079,024131491322,9.50,4
Farberware pro 5pc silicone utensil set ni,HSWE041078,024131495597,5.25,12
Crossbody lunch bag - tye dye black and w...,HSWE041077,844983097028,5.00,12
Farberware  11x14 ns cutting board - marb...,HSWE041076,045908111922,5.00,6
Farberware pro 2ct set turner and spoon -...,HSWE041075,024131400133,3.50,36
Farberware basic nyl slotted turner ni,HSWE041072,024131407569,1.65,36
Farberware pro 2 basting spoon ni,HSWE041071,024131126620,1.65,48
Firefly ready go toothbrush - light up w/...,BEAU041261,840204435266,1.35,24
Home country 1000pc puzzle assortment.,TOYS041366,4895145424677,2.50,6
Babyganics foaming dish soap fragrance fr...,CLEA041305,813277012429,2.25,12
Kitchen rug  graphite 18x30,HSWE041231,072894104515,2.50,24
Kitchen rug blue 18x30,HSWE041229,072894104072,2.50,24
Kitchen rug tan 18x30,HSWE041230,072894104089,2.50,24
Glade 3-wick candle sky & sea salt 6.8oz us,CAND041289,046500043802,2.65,3
Nhl franklin multi density street hockey ...,SPOR040671,025725499076,1.75,48
Rite aid anti-diarrheal / anti-gas caplet...,HEAL040756,011822781848,0.45,24
Rite aid maximum strength mucus relief dm...,HEAL040740,011822420549,0.45,24
Franklin nhl street hockey starter set 2 ...,SPOR040672,025725629893,6.00,6
Nfl franklin my first football stuffed pl...,SPOR040657,025725562565,5.00,6
Franklin future champs inflatable boxing ...,SPOR040645,025725504213,7.00,6
Rite aid anti-diarrheal / anti-gas caplet...,HEAL040759,011822333054,0.25,24
Rite aid nighttime sleep aid tablets 48ct...,HEAL040758,011822420501,0.40,24
Rite aid laxative powder 14 doses 8.3oz e...,HEAL040744,011822820028,1.80,12
Rite aid electrolyte solution grape 33.8f...,HEAL040741,011822300766,0.90,6
Cotton balls 100ct organic,HEAL040612,197344105987,0.65,12
Disney pixar lightyear core figures assorted,TOYS041235,194735069125,1.00,6
Rite aid children's 24hr allergy relief s...,HEAL040753,011822536059,0.25,48
Rite aid children's ibuprofen pain reliev...,HEAL040752,011822420815,0.25,48
Rite aid 12hr maximum strength nasal reli...,HEAL040747,011822320108,0.25,144
Rite aid laxative powder 7 doses 4.1oz ex...,HEAL040734,011822393560,0.30,12
Rite aid nighttime sleep aid tablets 24ct...,HEAL040754,011822030229,0.65,24
Rite aid daytime severe cold & flu relief...,HEAL040743,011822820264,0.40,12
Rite aid children's allergy relief chewab...,HEAL040745,011822420525,0.35,24
Rite aid 12hr maximum strength nasal reli...,HEAL040739,011822614122,0.30,24
Rite aid children's fever reducer & pain ...,HEAL040748,011822989558,0.40,48
Rite aid miconazole 3-day feminine care c...,HEAL040736,011822373654,0.50,12
Rite aid electrolyte solution mixed fruit...,HEAL040742,011822308809,0.90,6
Rite aid moisturizing saline nasal spray ...,HEAL040738,011822420303,0.25,72
Foam beauty wedges  32ct,HEAL040611,197344036397,0.65,24
Rite aid sports tape,HEAL040605,11822413008,0.65,48
Oster 5pc kitchen tool set -wooden handle...,HSWE040850,085081649881,6.25,6
Oster 5pc kitchen tool set ni,HSWE040846,085081352477,6.25,4
