Item,SKU,UPC,Unit Cost,Case Size
Old Spice/Body Wash/Superman Body Face Black Cherry Nightfall/4/16/oz,12044-06264,012044062647,3.4725,4
Old Spice/Body Wash/NFL Saquon Soar/4/24/oz,12044-06555,012044065556,5.04,4
Dove/Body Wash/Men+Care Exfoliating Deep Clean WPump/4/30/oz,11111-04879,011111048799,6.195,4
Dial/Body Wash/Calm and Soothe Lavender and Jasmine WPump/4/32/oz,17000-11860,017000118598,6.6175,4
Cetaphil/Body Wash/Ultra Gentle Refreshing/12/16.9/oz,02993-93806,302993938064,5.0392,12
Ivory/Body Wash/Water Lily/4/35/oz,30772-01848,030772018484,6.6175,4
Ivory/Body Wash/Lavender/4/35/oz,30772-01849,030772018491,6.6175,4
Ivory/Body Wash/Aloe/4/35/oz,30772-01847,030772018477,6.6175,4
Dove/Body Wash/Deeply Nourishing/12/20.2/oz,720181-457692,8720181457395,3.945,12
Caress/Body Wash/Mango & Almond Oil/4/30/oz,11111-04768,011111047679,6.6275,4
Ivory/Body Wash/Coconut/4/35/oz,30772-01850,030772018507,6.6175,4
Dove/Body Wash/Glow Mango & Almond Butter WPump/3/30.6/oz,11111-02486,011111024861,6.8367,3
Dove/Body Wash/Unwind Blueberry & Moon Milk WPump/3/30.6/oz,11111-05533,011111055339,6.8367,3
Ivory/Body Wash/Sunshine Spritz/4/35/oz,30772-22356,030772223567,6.6175,4
Ivory/Body Wash/Jojoba/4/35/oz,30772-12716,030772127162,6.6175,4
Dove/Body Wash/Renew Peony & Rose wPump/3/30.6/oz,11111-00639,011111722590,6.8367,3
Caress/Body Wash/Black Orchid & Patchouli Oil wPump/4/30/oz,10170-04011,810170040115,6.6275,4
Ivory/Body Wash/Milk & Honey/4/35/oz,30772-01843,030772018439,6.6175,4
Dove/Body Wash/WPump Deeply Nourishing/12/33.8/oz,02088-30941,8999999042479,5.5225,12
Irish Spring/Body Wash/5 in 1 Legends Golden Honey & Vetiver/4/20/oz,27854-02852,827854028529,3.1,4
Irish Spring/Body Wash/5 in 1 Legends Sea Salt Cedarwood/4/20/oz,27854-02862,827854028628,3.1,4
Axe/Body Wash/3 In 1 Black W-Pump/6/33.8/oz,91265-01030,9556006280065,5.2383,6
Old Spice/Shampoo/2In1 Pure Sport WPump/8/29.2/oz,12044-04744,012044046548,6.2062,8
Old Spice/Body Wash/Night Panther Wpump/4/27/oz,12044-05858,012044058589,6.29,4
Old Spice/Body Wash/Endurance Pure Sport Wpump/4/33.4/oz,12044-05966,037000733607,6.29,4
Ivory/Body Wash/Original/4/35/oz,30772-01846,030772018460,6.6175,4
Old Spice/Body Wash/Fiji Wpump/4/25/oz,37000-79338,037000793380,6.29,4
Old Spice/Body Wash/3 In 1 Captain/6/22.8/oz,006540-280157,8006540280140,3.3667,6
Old Spice/Body Wash/2 In 1 Endurance Crisp Wpump/4/33.4/oz,12044-05967,037000695424,6.29,4
Dove/Body Wash/Men+Care Mango + Cedarwood WPump/4/30/oz,11111-04878,011111048782,6.195,4
Yardley/Body Wash/Shower Creme English Rose W Pump/12/30.4/oz,935212-83087,8935212830874,3.8,12
Dove/Body Wash/Nourishing Care/12/20.2/oz,720181-460463,8720181460081,3.945,12
Soft Soap/Body Wash/Watermelon/12/12/oz,27854-02957,827854029571,1.25,12
"Irish Spring/Display/Body Wash 6 5In1 Fresh Eucalyptus 20oz, 6 Original 20oz, 6 Cedarwood Sea Salt 20oz & 6 Honey Vetiver 20oz/24/1/ct",27854-03281,035000996756996749827854027607027614,3.135,24
Yardley/Body Wash/Shower Creme English Lavender W Pump/12/30.4/oz,935212-83089,8935212830898,3.8,12
Old Spice/Body Wash/Swagger Wpump/4/27/oz,12044-05860,012044058602,6.29,4
Yardley/Body Wash/Shower Creme English Musk W Pump/12/30.4/oz,935212-83088,8935212830881,3.8,12
Old Spice/Body Wash/Krakengard Wpump/4/27/oz,12044-06265,012044062654,6.29,4
Native/Body Wash/Key Lime & Sugar/6/18/oz,12154-03819,812154038194,4.7233,6
Dove/Body Wash/Go Fresh Rose Soothing W Pump/12/33.8/oz,01030-85739,8901030857393,5.5225,12
Dove/Body Wash/Almond & Hibiscus W-Pump/12/33.8/oz,01030-84622,8901030846229,5.5225,12
Dove/Body Wash/Relaxing/12/15.2/oz,50061-46824,850061468246,3.135,12
Dove/Body Wash USA/Sensitive Skin W-Pump/3/30.6/oz,11111-00638,011111396494,6.8367,3
Yardley/Body Wash/English Blossom W Pump/12/30.4/oz,35212-83107,8935212831079,3.8,12
Soft Soap/Body Wash/Orange Blossom/12/12/oz,27854-02958,827854029588,1.25,12
Dove/Body Wash/Rebalance White Peach + Rice Milk WPump/3/30.6/oz,11111-05534,011111055346,6.8367,3
Dove/Body Wash/Sensitive Skin/12/33.8/oz,01030-85740,8901030857409,5.5225,12
Yardley/Body Wash/Shower Creme Royal Bouquet W Pump/12/30.4/oz,35212-83108,8935212831086,3.8,12
Dove/Body Wash/Purely Pampering/12/15.2/oz,50061-46823,850061468239,3.135,12
Irish Spring/Body Wash/Moisture Blast/4/20/oz,35000-99661,035000996619,3.1,4
Dove/Body Wash USA/Coconut Milk & Jasmine W-Pump/3/30.6/oz,11111-01085,011111010857,6.8367,3
Dove/Body Wash/Go Fresh Lavander Chamomile W Pump/12/33.8/oz,01030-85750,8901030857508,5.5225,12
Native/Body Wash/Ocean & Timber/6/18/oz,12154-03818,812154038187,4.7233,6
Dove/Body Wash/Nourishing Silk/12/20.2/oz,720181-451706,8720181451690,3.945,12
Dove/Body Wash USA/Shea Butter W-Pump/3/30.6/oz,11111-00641,011111611030,6.8367,3
Dove/Body Wash/Anti Stress Chamomile & Oat Milk WPump/3/30.6/oz,11111-04904,011111049048,6.8367,3
Dove/Body Wash/Relax Lavender + Chamomile WPump/3/30.6/oz,11111-02064,011111020641,6.8367,3
Dove/Body Wash/Relaxing Shea Butter & Vanilla W Pump/12/33.8/oz,01030-84621,8901030846212,5.5225,12
Olay/Body Wash/Age Defying/4/33/oz,37000-97472,037000974727,5.49,4
Dove/Body Wash/Men Extra Fresh/12/13.5/oz,720181-370199,8720181357893,2.9458,12
Dove/Body Wash/Gentle Exfoliating W-Pump/3/30.6/oz,11111-02066,011111020665,6.8367,3
Soft Soap/Body Wash/Plum/12/12/oz,27854-02968,827854029687,1.25,12
Soft Soap/Body Wash/Blueberry/12/12/oz,27854-02962,827854029625,1.25,12
Dove/Body Wash/Go Fresh Renew Raspberry & Lime W-Pump/12/33.8/oz,01030-84623,8901030846236,5.5225,12
Olay/Body Wash/Fresh Radiance Peach & Cherry Blossom/4/33/oz,30772-10568,030772105689,5.49,4
Dove/Body Wash/Revitalize Cherry + Chia Milk WPump/3/30.6/oz,11111-04901,011111049017,6.8367,3
Irish Spring/Body Wash/Active Scrub/4/20/oz,35000-99361,035000993618,3.1,4
Dove/Body Wash/Sakura Blossom W Pump/12/33.8/oz,01030-85742,8901030857423,5.5225,12
Irish Spring/Body Wash/Aloe/4/20/oz,35000-99662,035000996626,3.1,4
Native/Body Wash/Vanilla & Sandalwood/6/18/oz,30772-17692,030772176924,4.7233,6
Irish Spring/Body Wash/Original 2pk/4/20/oz,35000-99560,035000995605,4.98,4
Soft Soap/Body Wash/Citrus Splash & Berry/4/20/oz,74182-47357,074182473570,2.99,4
Irish Spring/Body Wash/Original/4/20/oz,35000-99674,035000996749,3.1,4
Native/Body Wash/Aloe & Green Tea/6/18/oz,12154-03683,812154036831,4.7233,6
Irish Spring/Body Wash/Redwood/4/20/oz,27854-02105,827854021056,3.1,4
Native/Body Wash/Cotton & Lily/6/18/oz,12154-03817,812154038170,4.7233,6
Soft Soap/Body Wash/Honeysuckle & Orange/4/20/oz,74182-47352,074182473525,2.99,4
Suave/Body Wash/White Tea & Lavender/6/18/oz,79400-50982,079400509826,1.5783,6
Suave/Body Wash/Men Ultra Moisturizing/6/18/oz,79400-49781,079400497819,1.5783,6
Soft Soap/Body Wash/Amalfi Orchards/4/20/oz,27854-02573,827854025733,2.99,4
Olay/Body Wash/Collagen Peptide wPump/4/26/oz,30772-06007,030772060070,5.49,4
Soft Soap/Body Wash/Shea & Almond Oil/4/20/oz,74182-47339,074182473396,2.99,4
Suave/Body Wash/Men Energizing/6/18/oz,79400-49780,079400497802,1.5783,6
Old Sprice/Deodorant/High Endurance Fresh Solid 2pk/6/3.4/oz,12044-05670,012044056707,5.96,6
Dove/Deodorant Spray/Classic/6/6.76/oz,20181-56559,8720181287831,2.63,6
Suave/Deodorant Solid/Coconut & Vanilla/12/2.6/oz,79400-51197,079400511973,1.6833,12
Secret/Spray/Couldnt be Lovelier Raspberry & Bubbles/12/4.1/oz,30772-24114,030772241141,3.135,12
Arm & Hammer/Deodorant/Ultramax Unscented/12/2.6/oz,33200-19714,033200197140,2.0825,12
Arrid XX/Solid/Regular/12/2.6/oz,22600-08161,022600190622,1.9983,12
Old Spice/Deodorant/Dark Knight/12/2.6/oz,12044-06175,012044061756,2.98,12
Dove/Roll On Deodorant/Original/48/1.69/oz,00663-65599,93666466,1.3,48
Degree/Deodorant Spray/Advanced Shower Clean/20/2.5/oz,0794005-03596(20),079400503596,2.5,12
Native/Deodorant/Coconut & Vanilla/12/2.65/oz,12154-03001,812154030013,5.9833,12
Arrid XX/Solid/Unscented/12/2.6/oz,22600-08461,022600180623,1.9983,12
Dove/Deodorant Stick/Advanced Care Rejuvenate/12/2.6/oz,79400-69144,079400691446,3.135,12
Dove/Roll On Deodorant/Go Fresh Cucumber/6/1.69/oz,720181-373480,59096795,1.3683,6
Speed Stick/Solid/Regular/132/1.8/oz,27854-01972,022200940207,1.15,132
Secret/Invisible Solid/Spring Breeze 2pk/6/2.6/oz,37000-69368,037000124344,6.27,6
Dove/Deodorant Spray/Cucumber & Green Tea/24/8.45/oz,86467-06971,8717163004869,2.8929,24
Old Spice/Deodorant/Pure Sport 2pk/6/2.4/oz,12044-04586,012044045862,6.1367,6
Axe/Body Spray/Black Night/12/5/oz,91293-04887,7791293048871,1.8,12
Old Spice/Deodorant/Pure Sport 5pk/18/3/oz,12044-05975,012044059753038918,12.75,18
Secret/Invisible Solid/Clean Lavender 2pk/6/2.6/oz,37000-69369,037000827399,6.27,6
Native/Deodorant/Watermelon/12/2.65/oz,30772-18071,030772180716,5.9833,12
Secret/Invisible Solid/Powder Fresh 5pk/18/2.6/oz,30772-25646,030772143124037000123439,12.75,18
Dove/Deodorant Spray/Coconut & Jasmine/24/8.45/oz,86467-06976,8717163714942,2.8929,24
Old Spice/Deodorant Solid/Clutch Play CJ/12/3/oz,12044-06478,012044064788,2.98,12
Toms of Maine/Deodorant/Cucumber Aloe/12/3.25/oz,27854-00582,827854005827,3.135,12
Axe/Deodorant Solid/Fresh Shield/12/1.2/oz,79400-47606,079400476067,0.7892,12
Dove/Deodorant Spray/Advanced Care Original/24/8.45/oz,909106-028309,8909106028302,2.8929,24
Dove/Deodorant Spray/Apple & White Tea/24/8.45/oz,86467-06975,8717163676721,2.8929,24
Dove/Deodorant Spray/Floral/6/6.76/oz,20181-56561,8720181323942,2.63,6
Dove/Deodorant Stick/Advanced Care Cool Essentials/12/2.6/oz,79400-35297,079400352972,3.135,12
Dove/Deodorant Stick/Advanced Care Sheer Fresh/12/2.6/oz,79400-63101,079400631015,3.135,12
Axe/Body Spray/Musk/12/5/oz,91293-04890,7791293041094,1.8,12
Old Spice/HE Deodorant/Pure Sport/12/2.25/oz,12044-03950,012044000274,2.4825,12
Gillette/Clear Gel/Aloe/6/2.4/oz,001841-587677,8001841587684,2.83,6
Dove/Deodorant Stick/Advanced Care Original Clean/12/2.6/oz,79400-44544,079400445445,3.135,12
Dove/Roll On Deodorant/Go Fresh Pomegranate/6/1.69/oz,720181-373565,59096757,1.3683,6
Dove/Deodorant Stick/Advanced Care Dragon Fruit & Coconut Cream/12/2.6/oz,79400-51392,079400513922,3.135,12
Dove/Deodorant Stick/Advanced Care Rose Petals/12/2.6/oz,79400-44800,079400448002,3.135,12
Yardley London/Body Mist/English Lavender/12/8/oz,50038-69961,850038699611,1.5675,12
Dove/Deodorant Stick/Advanced Care Sheer Cool/12/2.6/oz,79400-44834,079400448347,3.135,12
Dove/Deodorant Stick/Advanced Care Peach & Chamomile Tea/12/2.6/oz,79400-50526,079400505262,3.135,12
Old Spice/Deodorant/Refresh/12/3/oz,12044-04725,012044047255,3.0683,12
Axe/Deodorant/Aqua Bergamot/12/2.6/oz,79400-50129,079400501295,2.0825,12
Right Guard/Deodorant Spray/Sport Fresh/6/5.53/oz,50042-20349,850042203002,2.63,6
Axe/Body Spray/Apollo/12/5/oz,91293-04886,7791293048864,1.8,12
Dove/Deodorant Stick/Advanced Care Caring Coconut/12/2.6/oz,79400-38641,079400386410,3.135,12
Secret/Spray/Whole Body Lilac Waterlily/12/3.5/oz,30772-12607,030772126073,3.135,12
Dove/Deodorant Stick/Nourishing Secrets Vanilla & Cocoa Butter/12/2.6/oz,79400-47653,079400476531,3.135,12
Dove/Deodorant Spray/Men+Care Classic/6/6.76/oz,20181-29571,8720181295584,2.63,6
Old Spice/Deo Body Spray/Nomad/12/4.7/oz,987176-176254,4987176176257,2.0825,12
Dove/Deodorant Stick/Advanced Care Apple & White Tea/12/2.6/oz,79400-45824,079400458247,3.135,12
Dove/Deodorant Stick/Advanced Care Sensitve/12/2.6/oz,79400-35588,079400355881,3.135,12
Old Spice/Deo Body Spray/Wolfthorn/12/4.7/oz,987176-176278,4987176176271,2.0825,12
Dove/Deodorant Spray/Advanced Care Invisible Care Go Fresh Pomegranate Lemon Verbena/24/8.45/oz,890910-602833,8909106028333,2.8929,24
Dove/Deodorant Spray/Advanced Care Invisible Care White Freesia Violet Flower/24/8.45/oz,890910-6028323,8909106028326,2.8929,24
Old Spice/Invisible Solid AP Deodorant/Swagger 5pk/18/2.6/oz,12044-06017,012044060179011133,16.3056,18
Ivory/Deodorant/Coconut/12/2.4/oz,37000-69590,037000695905,2.0825,12
Old Spice/Deo Body Spray/Krakengard/12/4.7/oz,987176-176315,4987176176318,2.0825,12
Old Spice/Deo Body Spray/Lionpride/12/4.7/oz,987176-176353,4987176176356,2.0825,12
Old Spice/Deodorant Spray/Gentlemans Total Body Cucumber + Avocado/12/3.5/oz,12044-05896,012044058961,2.0825,12
Dove/Deodorant Spray/Advanced Care Even Tone Calendula Oil/24/8.45/oz,890910-602829,8909106028296,2.8929,24
Axe/Body Spray/Spiced Latte/12/4/oz,79400-51025,079400510259,1.8,12
Axe/Body Spray/Midnight/12/5/oz,901030-907920,8901030907920,1.8,12
Axe/Body Spray/Intense/12/5/oz,901030-907958,8901030907951,1.8,12
Teen Spirit/Deodorant Solid/Fresh Zing/12/1.1/oz,27854-02043,827854020431,0.7258,12
Old Spice/Deodorant/Total Body Aloe + Rain/12/3/oz,12044-06310,01204406310180822754,2.6192,12
Secret/Solid Stick/Powder/12/1.7/oz,37000-12442,037000124429,1.49,12
Secret/Solid Stick/Shower Fresh/12/1.7/oz,37000-12445,037000124450,1.49,12
Old Spice/Deodorant/NFL Superbowl LX/12/2.6/oz,12044-07029,012044070291,2.98,12
Old Spice/Deodorant/Total Body Mandarin + Sandalwood/12/3/oz,12044-06309,01204406309580822752,2.6192,12
Old Spice/Deodorant Spray/Total Body Aloe + Rain/12/3.5/oz,12044-06320,012044063200,2.0825,12
Secret/Spray/Whole Body Peach Vanilla/12/3.5/oz,30772-12608,030772126080,3.135,12
Old Spice/Body Spray/Ceedee TD/12/5.1/oz,12044-06479,012044064795,2.935,12
Hello/Deodorant Solid/Sage+Eucallyptus/12/2.6/oz,19156-02245,819156022459,2.6192,12
Old Spice/Body Spray/Kittle Can Cook/12/5.1/oz,12044-06480,012044064801,2.935,12
Mennen Speed Stick//Ocean Surf/12/1.8/oz,22200-94023,022200940238,1.09,12
Nexxus/Conditioner/Unbreakable Care wPump/3/32/oz,05592-00848,605592008481,5.98,3
Head & Shoulders/Shampoo/Smooth and Silky 2 in 1/6/12.5/oz,30772-06319,030772063194,5.2383,6
Head & Shoulders/Shampoo/2 In 1 Dry Scalp Care/4/20.7/oz,30772-06353,030772063538,7.5625,4
Revlon/Shampoo/Extra Care/12/22/oz,411126-036587,8411126019357,2.525,12
Head & Shoulders/Shampoo/2 In 1 Green Apple/4/20.7/oz,30772-06351,030772063514,7.5625,4
Revlon/Shampoo/Volume/12/22/oz,411126-066457,8411126066450,2.525,12
Tresemme/Shampoo/Nourish Coconut/6/23/oz,720182-514479,8720182514066,2.83,6
Tresemme/Shampoo/Biotin Repair/6/23/oz,720182-514554,8720182514103,2.83,6
Revlon Color Silk/Hair Color/Medium Brown #41/12/1/ct,07376-05604,309978695417,2.3,12
Head & Shoulders/Shampoo/Lemon Fresh/12/10.14/oz,902430-553640,4902430553643,3.135,12
Pert Plus/Shampoo/2 in 1 Anti Dandruff/4/25.4/oz,83484-31118,883484311189,4.8925,4
Revlon ColorSilk/Hair Color/Light Ash Brown #50/12/1/ct,07376-05631,309978695509,2.3,12
Head & Shoulders/Shampoo/Smooth & Silky wPump/6/23/oz,902430-397916,4902430397919,4.9333,6
Finesse/Conditioner/Normal/6/24/oz,67990-50073,067990500507,3.355,6
Tresemme/Shampoo/Beauty Full Strength/6/23/oz,720182-514615,8720182514127,2.83,6
Tresemme/Shampoo/Lamellar Shine/6/23/oz,720181-474743,8720181474705,2.83,6
Head & Shoulders/Shampoo/Clean & Balanced wPump/6/22/oz,902430-397886,4902430397889,4.9333,6
Revlon ColorSilk/Hair Color/Brown Black #20/12/1/ct,07376-05580,309978692202,2.3,12
Head & Shoulders/Shampoo/2 In 1 Classic Clean/4/20.7/oz,30772-06357,030772063576,7.5625,4
Revlon ColorSilk/Hair Color/Dark Auburn #31/12/1/ct,07376-05586,309978695318,2.3,12
Revlon ColorSilk/Hair Color/Dark Soft Brown #33/12/1/ct,07376-05592,309978695332,2.3,12
Pert Plus/Shampoo/2 in 1 Scalp Relief Aloe Mint/4/25.4/oz,16559-01948,816559019482,4.8925,4
Revlon ColorSilk/Hair Color/Bright Auburn #45/12/1/ct,07376-05616,309978695455,2.3,12
VO5/Conditioner/Jojoba Aloe Cleansing/6/15/oz,16559-01964,816559019642,1.4417,6
Revlon ColorSilk/Hair Color/Auburn Brown #49/12/1/ct,07376-05628,309976623498,2.3,12
Pert Plus/Shampoo/2 in 1 Classic Clean/4/25.4/oz,83484-70890,883484708903,4.8925,4
Pantene/Shampoo/Nature Care Fullness & Life wPump/6/25.3/oz,902430-401125,4902430401128,4.7233,6
Head & Shoulders/Shampoo/Dry Scalp Care 2 in 1 WPump/4/28.2/oz,30772-06403,030772064030,9.4475,4
Revlon/Shampoo/Classic/12/22/oz,411126-066396,8411126033827,2.525,12
Finesse/Shampoo/Coconut/6/24/oz,67990-50388,067990503881,3.355,6
Revlon ColorSilk/Hair Color/Dark Golden Brown #37/12/1/ct,07376-05598,309978456377,2.3,12
Pantene/Shampoo/Smooth & Sleek wPump/4/27.7/oz,80878-19526,080878195268,7.49,4
Finesse/Shampoo/Normal/6/24/oz,67990-50070,067990500477,3.355,6
Head & Shoulders/Shampoo/Classic Clean/4/20.7/oz,30772-06356,030772063569,7.5625,4
Head & Shoulders/Shampoo/Cool Menthol wPump/6/12.5/oz,902430-955949,4902430281331,2.62,6
VO5/Conditioner/Ocean Refresh Revitalizing/6/16.9/oz,09219-00172,809219001729,1.4417,6
Head & Shoulders/Shampoo/Clean & Balanced/12/10.14/oz,902430-400678,4902430400671,3.135,12
VO5/Conditioner/Silky Experiences Island Coconut Moisturizing/6/15/oz,16559-01144,816559011448,1.4417,6
Tresemme/Shampoo/Revitalize Color/6/30.4/oz,872018-123627,8720181236204,3.6717,6
VO5/Conditioner/Normal Daily Revitalizing/6/15/oz,16559-01877,816559018775,1.4417,6
Pantene/Shampoo/Volume & Body wPump/4/27.7/oz,80878-19527,080878195275,7.49,4
VO5/Shampoo/Men 3 in 1 Fresh Energy/6/15/oz,16559-01515(6),816559015156,1.4417,6
Revlon ColorSilk/Hair Color/Deep Rich Brown #27/12/1/ct,07376-05582,309978456278,2.3,12
Schwarzkopf/Gliss Hair Repair Treatment/Ultra Moisture Anti Breakage/6/6.1/oz,17000-15642,017000156415,1.8417,6
Pantene/Shampoo/Curl Perfection wPump/4/27.7/oz,80878-19676,080878196760,7.49,4
VO5/Conditioner/Pomegranate Bliss Moisturizing/6/15/oz,16559-01985,816559019857,1.4417,6
Pantene/Shampoo/Repair and Protect W-Pump/4/27.7/oz,80878-19531,080878195312,7.49,4
VO5/Conditioner/Blooming Freesia Moisturizing/6/15/oz,16559-01978,816559019789,1.4417,6
VO5/Conditioner/Strawberries & Cream Moisturizing/6/15/oz,16559-01118,816559011189,1.4417,6
VO5/Shampoo/Silky Experiences Island Coconut Moisturizing/6/15/oz,16559-01143,816559011431,1.4417,6
Pantene/Shampoo/Daily Moisture Renewal WPump/4/27.7/oz,80878-19525,080878195251,7.49,4
Revlon ColorSilk/Hair Color/Medium Auburn #42/12/1/ct,07376-05607,309978695424,2.3,12
VO5/Conditioner/Extra Body Volumizing/6/15/oz,16559-01098,816559010984,1.4417,6
VO5/Shampoo/Men 3 in 1 Ocean Surge/6/15/oz,16559-01514(6),816559015149,1.4417,6
VO5/Shampoo/Pomegranate Bliss Moisturizing/6/15/oz,16559-01984,816559019840,1.4417,6
Suave/Shampoo/Silk Protein Infusion/6/12.6/oz,79400-48878,079400488787,1.3567,6
