ItemCode,Description,CasePack,Source,Search Query,Best ASIN,Matched Title,BSR,Monthly Sold,Seller Count,Amazon Present %,Amazon Is Buybox,Category
FAM02-001,LEG RREWOHS Dove,1,family_group,LEG RREWOHS Dove,,,,,,,,
FAM02-002,Dove Body Wash,6,family_group,Dove Body Wash,B00MEDOY2G,"Dove Body Wash Body Wash Deep Moisture 30.6 oz Pump, Sulfate Free",27,100000,11,97.5,True,Body Washes
FAM02-003,Dove BW Refreshing,1,family_group,Dove BW Refreshing,,,,,,,,
FAM02-004,Dove BW Deeply,1,family_group,Dove BW Deeply,,,,,,,,
FAM02-005,Liter Dove Body,2,family_group,Liter Dove Body,B06XZMB611,"Dove Go Fresh Energize Body Wash, Grapefruit and Lemongrass Scent, 33.8 Ounce (1 Liter) International Version",52037,200,102,71.5,False,Body Washes
FAM02-006,oz Irish Spring,5,family_group,oz Irish Spring,B09GN14Y2S,"Irish Spring Mens Body Wash, Moisture Blast Body Wash for Men, Feel Fresh All Day, 30 Oz Pump Bottle",165,10000,14,55.5,True,Body Washes
FAM02-007,Irish Spring Body,1,family_group,Irish Spring Body,B0CFG7XFDT,"Irish Spring Active Scrub Body Wash for Men, Cool Fresh Scent, 887 mL",166,2000,2,95.2,True,Body Washes
FAM02-008,Dial Body Wash,1,family_group,Dial Body Wash,B01ABM71JY,"Dial Body Wash, Refresh & Renew Spring Water, 32 fl oz",467,9000,102,74.7,True,Body Washes
FAM02-009,Nivea Shower gel,1,family_group,Nivea Shower gel,B0BMW4HR42,"NIVEA MEN Sensitive Body Wash with Bamboo Extract, Moisturizing Body Wash for Sensitive Skin, Soap Free Shower Gel for Men with No Drying Alcohol, 30 Fl Oz Bottle",4668,1000,13,98.2,True,Body Washes
FAM02-010,ml Nivea Bath,1,family_group,ml Nivea Bath,B00E96N78I,"Nivea Bath Care Shower Water Lily Oil, 250 ML",34790,600,67,65.6,False,Feminine Washes
FAM02-011,Natural Sense Castile,9,family_group,Natural Sense Castile,B0CKNMYCDN,"Natural Sense Plant-Based Pure Castile Soap, ALMOND, Sulfate-Free, Paraben-Free, Dye-Free, w/Olive & Coconut Oil and Shea Butter, 5 oz",92517,50,31,0.0,False,Soaps
FAM02-012,Axe Shower Gel,2,family_group,Axe Shower Gel,B07CY37JK7,"AXE Men's Body Wash & Shower Gel, Phoenix, 3-Pack, 12H Invigorating Crushed Mint & Rosemary Scent, 32 Fl Oz Each",21929,800,20,0.0,False,Body Washes
FAM02-013,Old Spice Shower,3,family_group,Old Spice Shower,B0G3YBK2JV,"Old Spice Body Wash for Men, 24/7 Shower Fresh, Refreshing Clean with Moisturizing Formula, Long-Lasting Fragrance, Red Collection, Swagger with Lime + Cedarwood Scent, 24oz (Pack of 2)",1041,800,1,95.9,True,Body Washes
FAM02-014,TAG Sport Shamp,1,family_group,TAG Sport Shamp,,,,,,,,
FAM02-015,TAG Sport Shmp,1,family_group,TAG Sport Shmp,,,,,,,,
FAM02-016,Tag Sport Shmp,1,family_group,Tag Sport Shmp,,,,,,,,
FAM02-017,TAG Sport Body,2,family_group,TAG Sport Body,B083XY3Q9Y,TAG Sport Body Spray 3.5 Oz Fearless (4 pack),234830,0,6,0.0,False,Deodorant
FAM02-018,Tag Sport BW,1,family_group,Tag Sport BW,,,,,,,,
FAM02-019,Palmolive Shower Gel,1,family_group,Palmolive Shower Gel,B0012Q7AOK,Palmolive Shower Gel - Milk And Honey 250Ml,114874,50,20,0.0,False,Body Washes
FAM02-020,100gr Dettol Soap,1,family_group,100gr Dettol Soap,,,,,,,,
FAM02-021,100gr Dettol Bar,4,family_group,100gr Dettol Bar,,,,,,,,
FAM02-022,90gm Dove Bar,1,family_group,90gm Dove Bar,,,,,,,,
