ItemCode,Description,CasePack,Source,Search Query,Best ASIN,Matched Title,BSR,Monthly Sold,Seller Count,Amazon Present %,Amazon Is Buybox,Category
FAM03-001,Ylang Ylang Regular,1,family_group,Ylang Ylang Regular,B00VQJK7AW,Cozy Glow Bergamot & Ylang-Ylang Regular Soy Candle,0,0,0,0.0,False,Jar Candles
FAM03-002,GENERAL Business Tall,1,family_group,GENERAL Business Tall,,,,,,,,
FAM03-003,HT Cannabis Cannabis,1,family_group,HT Cannabis Cannabis,B0CX64WT6C,3dRose Mermaid Cannabis 8x8 Iron on Heat Transfer for White Material,0,0,0,0.0,False,Iron-on Transfers
FAM03-004,Fast Luck Tall,1,family_group,Fast Luck Tall,B084LQC561,"Botanica Emporium Fast Luck Vision Candle | Spell Candle for Evoking Good Fortune | 7 Day Glass Spiritual Candle 8"" Tall",0,0,1,0.0,False,Jar Candles
FAM03-005,HT Feng Shui,1,family_group,HT Feng Shui,B0DN1BRVLW,RWSEFK 鎏金铜一帆HT小号20*7 * 22cm/绒沙金一帆风顺龙舟摆件创意中式公司送客户商务礼品 China Style Feng Shui Wealth Prosperity Statue Sculpture Ornaments for Home,0,0,0,0.0,False,Figurines
FAM03-006,Money Drawing Tall,1,family_group,Money Drawing Tall,B08WRBXJLW,NYKK Fengshui Guan Yu Statue Company Efficacious Talisman Money Drawing TOP Martial God of Wealth Guan gong Guan di FENG Shui Statue Guan Gong Statue (Size : 48CM Tall),0,0,0,0.0,False,Statues
FAM03-007,Money House Tall,1,family_group,Money House Tall,B0H884FGJK,"Money Tree Live Plant by United Nursery Pachira Aquatica Braided Trunk Indoor Tree, Easy Care Air Purifier House Plant for Lucky Home and Office Decor (Eco Decorative Pot, Small (8-11 inches Tall))",132363,0,0,0.0,False,Live Plants
FAM03-008,HT San Miguel,1,family_group,HT San Miguel,,,,,,,,
FAM03-009,Success Tall Incense,1,family_group,Success Tall Incense,B0842W3N93,"Ebros Hindu Avatar Ganapati Lord Ganesha with 4 Hands Seated On Lotus Throne Backflow Cone Incense Burner Statue 6"" Tall Hinduism Vastu God of Wisdom Success and Prosperity Altar Decor Figurine",5891086,0,3,0.0,False,Incense Holders
FAM03-010,HT White Sage,1,family_group,HT White Sage,B0GJS2RKFW,"SenseFlow Essential Oil Diffuser for Home, Smart Waterless Diffuser SF101S Pro, Plug in Room Scent with Timer & 120-Day Natural Aroma – HT N°6(Sage White),1 Fl Oz (Pack of 1)",273463,0,2,0.0,False,Diffusers
FAM03-011,Awesome Trigger Kitchen,1,family_group,Awesome Trigger Kitchen,,,,,,,,
FAM03-012,Awesome Trigger Bathroom,1,family_group,Awesome Trigger Bathroom,,,,,,,,
FAM03-013,Awesome Trigger Laundry,1,family_group,Awesome Trigger Laundry,,,,,,,,
FAM03-014,NG Awesome Trigger,2,family_group,NG Awesome Trigger,,,,,,,,
